CD_GEOCMU,lat,long
"4313904",-28.329985,-53.507424
"4313953",-30.257757,-52.370960
"4314001",-28.601007,-51.788592
"4314027",-29.696474,-53.121384
"4314068",-29.439543,-52.870430
"4314076",-29.759260,-52.245136
"4314100",-28.268973,-52.452466
"4314134",-27.710319,-52.395321
"4314159",-29.569266,-51.728350
"4314175",-31.839107,-53.691052
"4314209",-31.960407,-52.872614
"4314308",-28.454371,-53.593503
"4314407",-31.581168,-52.341156
"4314456",-27.528965,-53.235050
"4314472",-29.291898,-53.335808
"4314498",-27.221831,-53.633956
"4314506",-31.405364,-53.413424
"4314555",-28.065530,-55.244154
"4314605",-31.438939,-53.103227
"4314704",-27.335314,-53.078087
"4314753",-29.446118,-51.640816
"4314779",-28.036702,-52.641497
"4314787",-27.654879,-52.506035
"4315008",-27.850768,-54.959047
"4315057",-27.591901,-54.657050
"4315073",-27.754825,-54.891074
"4315107",-27.932046,-55.143307
"4315131",-29.158373,-52.228577
"4315156",-29.224419,-52.318974
"4315172",-28.737230,-51.487445
"4315206",-29.028560,-52.147787
"4315305",-30.279771,-56.152333
"4315313",-27.843069,-52.470949
"4315321",-29.309640,-54.065491
"4315354",-28.757039,-53.116649
"4315404",-27.573129,-53.633276
"4315453",-29.118591,-52.067847
"4315503",-29.817719,-53.344129
"4315552",-27.252817,-52.879568
"4315602",-32.220069,-52.404581
"4315701",-30.022804,-52.436943
"4315800",-29.256972,-51.829415
"4315909",-27.463354,-53.170523
"4315958",-28.255172,-54.834440
"4316105",-27.811229,-52.749408
"4316204",-27.832511,-52.892971
"4316303",-28.059482,-55.088253
"4316402",-30.325619,-55.110274
"4316428",-27.707948,-53.131856
"4316436",-28.386748,-53.094311
"4316451",-29.068182,-53.254344
"4316477",-28.100159,-54.831731
"4316501",-29.458040,-51.535470
"4316600",-27.957323,-51.800270
"4316709",-28.373849,-53.284519
"4316733",-28.181207,-51.898402
"4316758",-29.453684,-52.131786
"4316808",-29.646642,-52.407239
"4316907",-29.784974,-53.825031
"4316972",-30.371060,-54.097718
"4317004",-30.817039,-53.177004
"4317103",-30.738810,-55.561672
"4317202",-27.864493,-54.497056
"4317251",-29.163865,-51.710824
"4317301",-33.163501,-53.007213
"4317400",-29.127235,-54.796359
"4317509",-28.250712,-54.297517
"4317558",-28.495604,-52.008640
"4317707",-28.493955,-55.426036
"4317756",-28.365094,-52.681467
"4317806",-27.903210,-53.755983
"4317905",-27.798337,-54.710845
"4317954",-27.923075,-51.661223
"4318002",-28.746688,-55.796576
"4318051",-28.538352,-51.867809
"4318101",-29.447919,-55.131178
"4318309",-30.305783,-54.363658
"4318408",-30.290363,-51.911721
"4318424",-27.797650,-51.834673
"4318432",-29.642098,-53.470511
"4318440",-28.501226,-51.715865
"4318457",-27.794853,-53.131710
"4318465",-29.065031,-52.274560
"4318499",-27.738772,-54.123923
"4318606",-27.772403,-51.560380
"4318614",-29.548361,-51.484389
"4318804",-31.234485,-52.122555
"4318903",-28.418454,-54.890919
"4319109",-27.729131,-53.953408
"4319125",-29.474808,-53.886278
"4319158",-28.673111,-54.521522
"4319208",-28.203121,-55.248124
"4319307",-27.988854,-54.975378
"4319356",-29.419646,-51.506322
"4319364",-27.779694,-53.237712
"4319372",-28.123632,-54.894804
"4319406",-29.611529,-54.237880
"4319604",-30.175984,-53.620014
"4319703",-27.553811,-52.559408
"4319711",-29.056801,-51.760987
"4319737",-27.821210,-53.908829
"4319802",-29.709952,-54.754208
"4320107",-27.941594,-52.895927
"4320206",-27.501152,-53.362514
"4320230",-27.641129,-53.953143
"4320263",-29.312611,-52.929430
"4320305",-28.669046,-52.978504
"4320321",-28.029045,-54.536593
"4320354",-30.625411,-51.607724
"4320404",-28.701593,-51.933631
"4320453",-29.394899,-52.243555
"4320503",-28.009991,-52.314081
"4320552",-30.466936,-51.629916
"4320578",-28.145427,-54.460111
"4320602",-27.415453,-52.111392
"4320651",-29.633394,-53.570202
"4320677",-29.444940,-52.568978
"4320701",-29.405624,-53.026263
"4320800",-28.839425,-52.537333
"4320859",-29.667073,-51.730956
"4320909",-28.058581,-52.010658
"4321006",-28.661408,-52.861461
"4321303",-29.744778,-51.831532
"4321329",-27.408557,-53.485794
"4321402",-27.372670,-53.764163
"4321451",-29.471534,-51.778036
"4321469",-28.582395,-52.598158
"4321477",-27.368143,-54.120907
"4321493",-29.470315,-54.301110
"4321626",-29.282913,-52.087577
"4321634",-27.492576,-52.180153
"4321808",-27.731910,-54.265215
"4321857",-27.617139,-52.837354
"4321907",-27.441200,-53.929234
"4321956",-27.527740,-52.899025
"4322103",-27.639394,-54.430729
"4322152",-29.114247,-52.892742
"4322186",-27.930177,-51.537585
"4322202",-29.020616,-54.003332
"4322301",-27.706500,-54.554557
"4322327",-31.475100,-52.156077
"4322343",-28.037819,-54.646310
"4322350",-28.772575,-52.021470
"4322376",-29.068503,-55.158783
"4322400",-29.840636,-56.729530
"4322525",-29.830787,-52.112445
"4322533",-29.583685,-52.689527
"4322558",-28.490386,-51.835027
"4322608",-29.578563,-52.195238
"4322707",-29.713167,-52.538652
"4322806",-28.963577,-51.551713
"4322855",-29.066815,-51.860613
"4322905",-27.572292,-51.993753
"4323101",-27.171086,-53.387921
"4323200",-28.550123,-52.685231
"4323309",-28.858969,-51.552827
"4323358",-28.128272,-52.142135
"4323408",-28.557935,-52.151695
"4323457",-30.346239,-53.878962
"4323507",-27.324958,-53.510109
"4323606",-28.820750,-51.782189
"4323705",-27.265793,-53.700428
"4323754",-28.382046,-54.463491
"4323770",-29.406385,-51.742940
"5000203",-19.961526,-52.926881
"5000252",-18.209174,-53.749249
"5000609",-23.157797,-54.967736
"5000708",-20.707260,-55.761335
"5000807",-22.111623,-52.808188
"5000856",-22.062590,-53.865246
"5000906",-22.205733,-55.969255
"5001102",-19.756100,-55.863234
"5001243",-22.907494,-55.450108
"5001508",-19.805170,-54.285110
"5001904",-21.808271,-52.570783
"5002001",-22.390526,-53.177521
"5002100",-21.936769,-56.536826
"5002159",-20.553361,-56.692488
"5002209",-21.007817,-56.460249
"5002308",-21.075761,-52.434164
"5002407",-22.587630,-54.804587
"5002605",-19.341408,-53.869266
"5002704",-20.913169,-54.249689
"5002803",-21.940795,-57.089489
"5002902",-19.094543,-52.180236
"5002951",-18.994229,-52.698222
"5003108",-19.806530,-55.057637
"5003157",-23.347714,-55.382976
"5003207",-18.731209,-56.723720
"5003256",-18.519344,-53.203013
"5003306",-18.280651,-54.674795
"5003454",-22.156444,-54.151311
"5003488",-20.615052,-55.365409
"5003504",-22.013829,-54.587797
"5003702",-22.145179,-54.837997
"5003751",-23.737822,-54.225043
"5003801",-22.338116,-54.439682
"5003900",-18.744411,-53.862822
"5004007",-22.427731,-54.192429
"5004106",-21.538489,-55.996427
"5004304",-23.434244,-54.538313
"5004403",-19.656969,-52.021693
"5004502",-22.002480,-54.873718
"5004601",-23.341128,-54.119235
"5004700",-22.371286,-53.799065
"5004809",-23.810357,-54.538477
"5004908",-20.227365,-54.347832
"5005004",-21.582678,-56.353976
"5005103",-22.706580,-53.957378
"5005152",-22.774861,-54.489419
"5005202",-19.100311,-57.570876
"5005251",-22.676821,-55.132086
"5005400",-21.551966,-55.396552
"5005608",-20.120381,-56.597802
"5005681",-23.942851,-54.274354
"5005707",-23.022196,-54.025583
"5005806",-21.101110,-55.899840
"5006002",-21.491581,-54.215607
"5006200",-21.926511,-53.422234
"5006259",-22.603235,-53.782243
"5006275",-19.227294,-53.130649
"5006358",-23.711767,-55.355785
"5006408",-17.908178,-54.336646
"5006606",-22.202812,-55.581671
"5006903",-21.237742,-57.369303
"5007109",-20.596272,-53.544035
"5007208",-21.696203,-54.557328
"5007307",-19.448268,-54.963828
"5007406",-18.814331,-55.042635
"5007505",-19.951760,-54.705662
"5007554",-21.319240,-52.774367
"5007695",-19.169232,-54.483830
"5007703",-23.880664,-55.027273
"5007901",-21.093633,-54.942494
"5007935",-17.646287,-54.436446
"5007950",-23.649496,-54.990572
"5007976",-22.669833,-53.431223
"5008008",-20.446933,-55.024800
"5008305",-20.438541,-52.211601
"5008404",-22.467566,-54.423989
"5100102",-15.177578,-56.317763
"5100300",-17.443552,-53.468375
"5100409",-16.879031,-53.582934
"5100508",-14.759017,-56.660298
"5100607",-17.826501,-53.299819
"5101209",-16.748315,-53.120854
"5101258",-15.255776,-58.458258
"5101308",-14.505769,-56.859491
"5101605",-16.820146,-56.031741
"5101704",-15.066310,-57.564945
"5101803",-15.361659,-52.497603
"5102504",-16.537171,-57.833747
"5102678",-15.348277,-54.961149
"5103007",-15.123257,-55.546345
"5103361",-14.636194,-59.331531
"5103403",-15.452610,-55.954471
"5103437",-15.615799,-57.877534
"5103452",-14.724946,-56.962937
"5103601",-15.657983,-54.772382
"5103809",-15.526495,-58.704206
"5103908",-15.558683,-53.393117
"5103957",-15.840431,-58.321238
"5104203",-16.383723,-53.589465
"5104500",-15.333365,-58.599600
"5104609",-17.333508,-54.602841
"5104807",-15.906552,-55.111868
"5104906",-15.330507,-56.549960
"5105002",-15.309576,-58.865861
"5105200",-16.185442,-54.908857
"5105234",-15.374690,-57.783412
"5105622",-15.654890,-58.054890
"5106109",-15.843989,-56.518949
"5106208",-14.787158,-55.048682
"5106232",-14.783674,-57.401374
"5106281",-15.078922,-53.241023
"5106372",-16.799885,-54.256488
"5106455",-14.590707,-54.672325
"5106505",-16.784090,-56.944463
"5106653",-15.931975,-52.720115
"5106703",-16.659860,-52.933017
"5106752",-15.517186,-59.458576
"5106828",-15.958086,-58.982381
"5106851",-15.521602,-57.214109
"5107008",-15.852275,-54.184603
"5107040",-15.097396,-54.220516
"5107107",-15.566642,-58.297166
"5107156",-14.929469,-58.458646
"5107198",-16.493936,-52.760219
"5107206",-15.270211,-58.153952
"5107263",-14.450917,-57.344227
"5107297",-16.462772,-54.274645
"5107404",-15.954549,-54.738609
"5107602",-16.520311,-54.668466
"5107750",-15.050989,-58.050040
"5107792",-14.819190,-53.671005
"5107800",-16.460374,-55.439936
"5108105",-15.908008,-53.456001
"5108204",-16.294540,-52.889712
"5108352",-14.975814,-58.963693
"5108402",-15.564927,-56.282434
"5201504",-18.768082,-52.045389
"5201702",-15.970162,-52.146404
"5203104",-16.360065,-52.438049
"5203401",-16.168337,-52.072388
"5205471",-18.464912,-52.633543
"5207253",-16.804813,-52.493458
"5213103",-17.631413,-52.767130
"5216452",-17.494264,-52.224766
"5217203",-16.414125,-51.841910
"5218102",-17.351270,-52.704535
"5219407",-17.244664,-53.069448
"5220504",-18.224637,-52.211930
"2900801",-17.468896,-39.409301
"2900900",-14.701273,-39.664093
"2901205",-14.590126,-40.970846
"2902252",-15.243275,-39.412180
"2902401",-14.362134,-39.478263
"2902906",-14.913567,-40.580781
"2903300",-14.775862,-39.444728
"2903409",-15.935682,-39.178436
"2903508",-14.998514,-41.203840
"2903953",-14.389879,-40.577361
"2904704",-14.996443,-39.269578
"2904803",-15.012838,-40.324805
"2905008",-14.482890,-42.285050
"2905602",-15.444373,-39.518677
"2906303",-15.651421,-39.109059
"2906600",-14.404202,-42.831740
"2906709",-15.355083,-41.269495
"2906899",-14.625570,-41.283716
"2906907",-17.659636,-39.681866
"2908002",-14.631827,-39.593191
"2908705",-14.921440,-42.051037
"2909000",-15.040971,-41.908245
"2910008",-14.404981,-39.988006
"2910404",-15.594912,-40.999913
"2910727",-16.298752,-39.606119
"2910909",-14.930820,-39.911313
"2911006",-14.841852,-39.717470
"2911659",-14.560438,-41.981153
"2911808",-16.553191,-39.937689
"2912103",-14.848768,-39.568453
"2912301",-14.641894,-39.863785
"2912806",-17.743014,-40.012798
"2913507",-14.632365,-40.065870
"2913606",-14.752693,-39.192194
"2914653",-16.662903,-39.551337
"2914802",-14.851648,-39.312807
"2915304",-16.096335,-39.737986
"2915403",-15.148336,-39.731652
"2915502",-14.671518,-39.444900
"2915601",-17.008757,-39.764796
"2915809",-15.163324,-40.479802
"2916005",-17.115408,-40.378352
"2916203",-14.954378,-39.495903
"2916302",-15.912110,-39.653153
"2916401",-15.299280,-40.057515
"2916609",-14.472907,-39.619958
"2916807",-15.697734,-40.049148
"2917102",-15.048842,-40.007204
"2917409",-14.784849,-42.322286
"2918456",-16.845586,-40.100747
"2918555",-15.136642,-39.498022
"2918902",-17.559606,-40.309841
"2919405",-14.586022,-42.470101
"2919702",-15.545818,-40.400968
"2919959",-14.656127,-41.518258
"2920007",-15.674000,-40.269104
"2920908",-15.662510,-39.412221
"2921104",-17.361298,-40.285633
"2921807",-14.972641,-42.320291
"2922003",-18.059158,-39.867213
"2922706",-14.857549,-40.180374
"2923001",-17.899642,-39.715066
"2923902",-15.468284,-39.690474
"2924504",-14.471618,-42.678567
"2924702",-15.003902,-41.716107
"2925006",-14.722504,-40.451429
"2925105",-14.536483,-40.382614
"2925303",-16.625000,-39.278994
"2925402",-15.681222,-39.772076
"2925501",-17.129738,-39.352074
"2925709",-14.698466,-41.724288
"2926657",-15.427224,-40.651847
"2927705",-16.229241,-39.201412
