,date,cases,deaths,casesNew,deathsNew,casesPer100K,deathsPer100K,dias,codigo_ibge,nome,nome_com_uf,frigorifico
1219,2020-06-18,4783.0,63.0,0.0,1.0,1167.3512621696,15.375941776400001,83.0,250400,Campina Grande (PB),CAMPINA GRANDE (PB),
1220,2020-06-18,72.0,2.0,0.0,0.0,1103.7866012571,30.6607389238,44.0,250403,Capim (PB),CAPIM (PB),
1221,2020-06-18,4.0,0.0,1.0,0.0,96.1076405574,0.0,16.0,250407,Caraúbas (PB),CARAÚBAS (PB),
1222,2020-06-18,1.0,0.0,0.0,0.0,37.6081233546,0.0,28.0,250410,Carrapateira (PB),CARRAPATEIRA (PB),
1223,2020-06-18,73.0,0.0,0.0,0.0,977.5040171398,0.0,48.0,250415,Casserengue (PB),CASSERENGUE (PB),
1224,2020-06-18,8.0,1.0,0.0,0.0,162.2060016221,20.2757502028,51.0,250420,Catingueira (PB),CATINGUEIRA (PB),
1225,2020-06-18,97.0,4.0,0.0,0.0,317.553853205,13.0950042559,33.0,250430,Catolé do Rocha (PB),CATOLÉ DO ROCHA (PB),
1226,2020-06-18,36.0,0.0,0.0,0.0,741.9620774938,0.0,34.0,250435,Caturité (PB),CATURITÉ (PB),
1227,2020-06-18,5.0,0.0,0.0,0.0,26.340743862600004,0.0,36.0,250440,Conceição (PB),CONCEIÇÃO (PB),
1228,2020-06-18,53.0,0.0,0.0,0.0,796.5133754133,0.0,43.0,250450,Condado (PB),CONDADO (PB),
1229,2020-06-18,218.0,5.0,2.0,1.0,883.6643696798,20.2675314147,58.0,250460,Conde (PB),CONDE (PB),
1230,2020-06-18,15.0,1.0,0.0,0.0,313.4141245299,20.8942749687,61.0,250470,Congo (PB),CONGO (PB),
1231,2020-06-18,23.0,0.0,0.0,0.0,148.9155066365,0.0,57.0,250480,Coremas (PB),COREMAS (PB),
1232,2020-06-18,8.0,0.0,0.0,0.0,416.44976574699996,0.0,55.0,250485,Coxixola (PB),COXIXOLA (PB),
1233,2020-06-18,167.0,11.0,0.0,0.0,964.2589064033999,63.5140597032,58.0,250490,Cruz do Espírito Santo (PB),CRUZ DO ESPÍRITO SANTO (PB),
1234,2020-06-18,24.0,0.0,0.0,0.0,307.81069642169996,0.0,21.0,250500,Cubati (PB),CUBATI (PB),
1235,2020-06-18,35.0,1.0,0.0,0.0,172.09165109650002,4.916904317,38.0,250510,Cuité (PB),CUITÉ (PB),
1236,2020-06-18,72.0,1.0,0.0,0.0,1058.3566073791,14.6993973247,42.0,250520,Cuitegi (PB),CUITEGI (PB),
1237,2020-06-18,25.0,0.0,0.0,0.0,393.5148748623,0.0,39.0,250523,Cuité de Mamanguape (PB),CUITÉ DE MAMANGUAPE (PB),
1238,2020-06-18,13.0,0.0,0.0,0.0,248.7086282763,0.0,36.0,250527,Curral de Cima (PB),CURRAL DE CIMA (PB),
1239,2020-06-18,1.0,0.0,0.0,0.0,39.745627980900004,0.0,17.0,250530,Curral Velho (PB),CURRAL VELHO (PB),
1240,2020-06-18,2.0,0.0,0.0,0.0,37.523452157600005,0.0,27.0,250535,Damião (PB),DAMIÃO (PB),
1241,2020-06-18,17.0,0.0,0.0,0.0,204.89333494029998,0.0,28.0,250540,Desterro (PB),DESTERRO (PB),
1242,2020-06-18,2.0,0.0,0.0,0.0,52.6592943655,0.0,37.0,250550,Vista Serrana (PB),VISTA SERRANA (PB),
1243,2020-06-18,2.0,0.0,0.0,0.0,30.525030525,0.0,15.0,250560,Diamante (PB),DIAMANTE (PB),
1244,2020-06-18,6.0,0.0,0.0,0.0,57.3997895341,0.0,28.0,250570,Dona Inês (PB),DONA INÊS (PB),
1245,2020-06-18,37.0,1.0,0.0,0.0,1028.9210233592999,27.808676307,39.0,250580,Duas Estradas (PB),DUAS ESTRADAS (PB),
1246,2020-06-18,1.0,0.0,0.0,0.0,28.3929585463,0.0,28.0,250590,Emas (PB),EMAS (PB),
1247,2020-06-18,169.0,0.0,0.0,0.0,512.0126033872,0.0,53.0,250600,Esperança (PB),ESPERANÇA (PB),
1248,2020-06-18,23.0,2.0,0.0,0.0,204.38994046029998,17.773038300899998,30.0,250610,Fagundes (PB),FAGUNDES (PB),
1249,2020-06-18,1.0,0.0,0.0,0.0,33.456005353,0.0,5.0,250620,Frei Martinho (PB),FREI MARTINHO (PB),
1250,2020-06-18,50.0,1.0,0.0,0.0,601.2506012506,12.025012025,40.0,250625,Gado Bravo (PB),GADO BRAVO (PB),
1251,2020-06-18,1396.0,14.0,0.0,0.0,2372.8179763057997,23.796168816799998,56.0,250630,Guarabira (PB),GUARABIRA (PB),1.0
1252,2020-06-18,99.0,0.0,0.0,0.0,700.6865312478,0.0,54.0,250640,Gurinhém (PB),GURINHÉM (PB),
1253,2020-06-18,17.0,1.0,0.0,0.0,495.9159859977,29.1715285881,30.0,250650,Gurjão (PB),GURJÃO (PB),
1254,2020-06-18,5.0,0.0,0.0,0.0,84.3312531624,0.0,31.0,250660,Ibiara (PB),IBIARA (PB),
1255,2020-06-18,11.0,0.0,0.0,0.0,93.07047973600001,0.0,48.0,250670,Imaculada (PB),IMACULADA (PB),
1256,2020-06-18,178.0,2.0,0.0,2.0,983.2624426891,11.0478926145,40.0,250680,Ingá (PB),INGÁ (PB),
1257,2020-06-18,400.0,5.0,1.0,0.0,1634.1871961432998,20.4273399518,58.0,250690,Itabaiana (PB),ITABAIANA (PB),
1258,2020-06-18,8.0,1.0,0.0,0.0,32.3991576219,4.0498947027,47.0,250700,Itaporanga (PB),ITAPORANGA (PB),
1259,2020-06-18,93.0,3.0,0.0,0.0,498.28546935279996,16.0737248178,57.0,250710,Itapororoca (PB),ITAPOROROCA (PB),
1260,2020-06-18,87.0,1.0,0.0,0.0,793.6507936508,9.1224229155,38.0,250720,Itatuba (PB),ITATUBA (PB),
1261,2020-06-18,50.0,2.0,0.0,0.0,346.4763356663,13.859053426700001,36.0,250730,Jacaraú (PB),JACARAÚ (PB),
1262,2020-06-18,3.0,0.0,0.0,0.0,38.7646982814,0.0,31.0,250740,Jericó (PB),JERICÓ (PB),
1263,2020-06-18,8984.0,250.0,32.0,4.0,1110.4862085375999,30.901775616,83.0,250750,João Pessoa (PB),JOÃO PESSOA (PB),
1264,2020-06-18,68.0,0.0,0.0,0.0,856.8548387097001,0.0,39.0,250760,Juarez Távora (PB),JUAREZ TÁVORA (PB),
1265,2020-06-18,78.0,0.0,0.0,0.0,429.2554069671,0.0,43.0,250770,Juazeirinho (PB),JUAZEIRINHO (PB),
