id,hora,altura,data,data-invert
281,10.3,110,5-02-2015,2015-02-05
282,1.25,122,6-02-2015,2015-02-06
283,10.35,124,6-02-2015,2015-02-06
284,11.05,114,11-11-2016,2016-11-11
285,23,121,5-03-2016,2016-03-05
286,20.15,117,16-06-2016,2016-06-16
287,23.35,127,5-11-2017,2017-11-05
288,21,119,11-03-2018,2018-03-11
289,23.5,124,18-03-2018,2018-03-18
290,23,117,30-03-2018,2018-03-30
291,13.5,121,28-10-2018,2018-10-28
292,14.4,156,29-10-2018,2018-10-29
293,17.35,119,29-10-2018,2018-10-29
294,20.25,148,29-10-2018,2018-10-29
295,13.05,113,1-11-2018,2018-11-01
296,11,114,24-11-2018,2018-11-24
297,23,111,1-02-2019,2019-02-01
298,8.45,113,2-02-2019,2019-02-02
299,23.5,113,2-02-2019,2019-02-02
300,8.2,111,3-02-2019,2019-02-03
301,22.4,134,4-04-2019,2019-04-04
302,21.55,110,18-05-2019,2019-05-18
303,9.1,110,8-11-2019,2019-11-08
304,10.35,127,12-11-2019,2019-11-12
305,22.5,187,12-11-2019,2019-11-12
306,9.3,144,13-11-2019,2019-11-13
307,10.45,113,14-11-2019,2019-11-14
308,11.35,154,15-11-2019,2019-11-15
