"id","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","user","name","x","verified","followers","image","siglapartido","deputadosfederais","senadores","ministrosbolsonaro","midia","governador","prefeitocapitais","candidatospresidente18","presidentes","partidos","comentaristaspoliticos","outrospoliticos","jornalistacolunista","canaisyoutube","justica","artistas","esporte","local","size","group","important"
"42454330",0.17,0.61,1,1.28,2.72,4.83,6.77,7.65,8.43,7.32,6.49,6.32,6.49,6.1,6.99,7.43,7.88,6.21,3.83,1.5,"DepArthurMaia","Arthur Maia",44.4082126673728,1,1804,"595582760011624448/lGGBmQEO_bigger.jpg","DEM",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,9.67868350709316,4,0
"90478644",0.12,0.24,0.47,0.65,1.66,2.08,3.56,5.46,6.41,5.76,6.47,6.59,7.6,10.74,10.33,8.96,7.06,7.36,5.22,3.26,"RodrigoCastro45","Rodrigo de Castro",51.5455581538805,0,1686,"1050021318551396353/dmYKwgTh_bigger.jpg","PSDB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,9.44356521878976,4,0
"175438359",0.43,1.67,3.27,5.19,5.62,5.43,5.74,4.44,4.69,5.99,6.79,6.23,5.43,5.68,5.56,8.83,8.46,5.86,2.9,1.79,"CinthiaCRibeiro","Cinthia Ribeiro",44.4859078115524,0,1620,"1007674407563808772/cT4GU1D5_bigger.jpg","PSDB",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Palmas, TO",9.3072419048754,4,0
"81617497",0.19,0.43,1.3,2.29,2.67,3.97,5.39,6.63,8.06,8.18,7.32,7.13,7.07,8.31,8,6.63,6.7,5.33,3.29,1.12,"giovanicherini","Giovani Cherini",42.8807087652412,0,1613,"724970106997096448/2RU6pZg1_bigger.jpg","PR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,9.29256760732062,4,0
"67601773",0.25,1.06,1.37,1.62,3.68,3.18,4.93,5.74,6.74,6.55,7.05,6.18,6.99,7.17,8.98,7.74,7.67,8.11,3.87,1.12,"acirgurgacz","ACIR GURGACZ",46.9724495318095,1,1603,"1048248850761338883/A9X1yLT5_bigger.jpg","PDT",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,9.27153049504851,4,0
"108988113",0.19,0.13,0.44,1.13,1.82,2.07,3.82,5.58,8.15,10.65,10.34,9.84,9.9,9.15,6.45,7.02,4.7,5.39,2.57,0.69,"HugoMottaPB","Hugo Motta",44.4074787955516,0,1596,"1030090297215275008/o7H7RdWB_bigger.jpg","PRB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,9.25675240510229,4,0
"57704164",0.19,0.63,1.19,2.08,2.45,3.77,5.47,7.23,8.36,7.61,7.8,8.24,8.18,7.55,6.73,6.04,5.35,4.78,3.9,2.45,"lincoln_portela","Lincoln Portela",47.7829402895973,0,1592,"1137459672/Dalmo_TT_bigger.jpg","PR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,9.24828837336232,4,0
"20560841",1.01,1.77,3.16,4.42,6.19,6.95,7.9,7.21,7.9,7.27,6.13,6.26,4.17,4.61,4.36,4.99,4.3,5.69,3.48,2.21,"ppdpsd","PSD",43.2102291524598,1,1590,"1112641393070170112/vZsEOG_W_bigger.png",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,9.24405104014363,4,0
"50101324",0.25,0.19,0.44,1.57,2.89,2.45,3.77,5.6,5.85,6.6,6.86,8.55,8.49,8.93,9.43,9.81,6.73,6.42,3.9,1.26,"RicardoBarrosPP","Ricardo Barros",47.7749001530813,0,1590,"1035536191146184704/cj0jzlMP_bigger.jpg","PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,9.24405104014363,4,0
"53493125",0,0.38,0.25,1.27,1.34,2.54,3.56,5.73,6.62,7.51,7.7,7.38,9.03,10.75,9.16,9.35,7.51,6.04,2.86,1.02,"ArnaldoJardim","Arnaldo Jardim",50.3410027867552,0,1572,"1050452467622834176/bJxX6ysC_bigger.jpg","PPS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,9.20575417359179,4,0
"57771926",0.13,0.71,1.28,1.86,2.5,3.21,5.26,6.99,8.65,10.77,9.36,7.82,9.23,8.4,6.15,6.67,5,3.27,2.24,0.51,"depHugoLeal","Hugo Leal",44.4621538135579,0,1561,"1049315431096483842/jwPrc4ny_bigger.jpg","PSD",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,9.18220642156155,4,0
"74801757",0.13,0.59,1.18,1.71,2.83,2.04,2.69,5.06,5.85,6.57,7.62,7.36,9.46,10.05,10.05,8.61,7.88,5.78,3.42,1.12,"GeanLoureiro","Gean Loureiro",50.677326947101,0,1523,"795032524032446464/L_u2Xilm_bigger.jpg","MDB",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Florianópolis, SC",9.09999813395465,4,0
"77044204",0,0.47,0.67,0.93,1.26,2.26,2.86,3.13,4.66,5.26,5.86,5.59,7.66,7.66,7.79,10.45,8.59,9.92,9.12,5.86,"pedroocl","Pedro Cunha Lima",57.1307143203969,1,1502,"1030460272610299904/14Cc55jH_bigger.jpg","PSDB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,9.05397929839578,4,0
"1301234378",2.2,3.14,3.87,3,5,3.6,4.4,4.47,4.74,4.34,5.47,4.94,4.54,6.14,8.41,7.34,8.47,8.74,4.47,2.74,"TelmarioMotaRR","Telmário Mota",45.539915209106,1,1499,"563457219099111425/Ukxn1r-b_bigger.jpeg","PROS",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,9.04737023305884,4,0
"28171045",0.07,0.34,0.54,2.01,2.48,3.02,4.02,6.64,7.64,8.18,7.84,7.37,8.51,8.65,9.12,7.77,7.17,4.96,2.55,1.14,"ptb14","PTB",45.7476408379936,1,1492,"1012749649755738113/biazkQ9Z_bigger.jpg",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,9.03191471456964,4,0
"86373674",0.14,0.34,0.54,1.02,1.56,2.31,3.19,4.81,7.25,8.27,10.51,9.97,10.92,9.08,7.66,7.25,6.98,4.2,2.78,1.22,"Baleia_Rossi","Baleia Rossi",47.8161449374738,1,1475,"1118222341144813568/e1DfSvdD_bigger.jpg","MDB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8.99417755241378,4,0
"51935259",0.14,0.61,1.36,1.43,2.85,2.65,3.87,5.1,6.93,6.93,6.59,6.39,6.93,8.49,9.51,8.02,8.15,7.07,5.03,1.97,"celinaleao","Celina Leão",49.2691197546068,0,1473,"1094968596307079170/3kDM7uUt_bigger.jpg","PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8.98971885753122,4,0
"59323812",0.14,0.41,0.96,1.38,2.82,2.82,5.09,6.6,7.36,7.36,7.7,6.53,6.95,6.46,7.57,7.84,9.49,6.12,4.61,1.79,"FBCFilho","Fernando Filho",48.8912845163829,0,1454,"1068097784216281090/baT-lTyr_bigger.jpg","DEM",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8.94715857044994,4,0
"167124877",0.32,0.4,1.11,0.95,2.14,2.46,3.17,3.65,3.65,4.75,5.39,5.39,6.58,6.66,9.83,9.51,10.46,11.49,7.61,4.52,"elmanoferrer","Elmano Férrer",56.1665239065559,1,1262,"1049643224548151297/iTqskwSC_bigger.jpg","PODE",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8.49466389687096,4,0
"259707478",0.16,0.48,1.05,1.85,2.25,2.65,3.62,4.42,7.15,7.64,9.57,8.36,7.48,9,9.08,8.68,6.91,5.87,2.81,0.96,"iraja555","Irajá",46.2801273361998,1,1244,"1109968393778663429/l1yR3pb1_bigger.jpg","PSD",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8.44994559357145,4,0
"182143709",0.08,0.73,1.05,1.85,3.63,2.9,3.55,5.4,6.2,7.17,7.09,5.72,8.06,9.43,6.61,8.22,6.85,6.45,6.2,2.82,"JHC_40","JHC",50.7671218301081,1,1241,"1050024998566580224/oxe07I0D_bigger.jpg","PSB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8.44245068250874,4,0
"71065638",0.08,0.33,1.38,1.06,1.71,2.12,3.18,5.7,5.29,6.51,7,7.33,6.84,8.22,9.93,9.04,8.71,8.96,4.89,1.71,"sen_wellington","Wellington Fagundes",48.9160416014573,1,1228,"1108498622700838912/HHNHLGgI_bigger.png","PR",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8.40983241457086,4,0
"87473436",0.08,0.16,0.49,0.74,1.07,2.47,3.04,5.1,6.41,6.17,6,6.91,6.83,9.38,9.62,9.05,9.46,7.89,6.58,2.55,"DomingosSavioMG","Domingos Sávio",53.1931296855876,0,1217,"1064931213230657536/eaTMQVcJ_bigger.jpg","PSDB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8.38205206042222,4,0
