Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Finland,-13.44,-12.45,-10.74,-9.87,-9.11,-8.26,-7.99,-7.83,-6.83,-6.48,-8.94,-17.13,-21.4,-21.72,-18.53,-16.21,-14,-9.89,-7.9,-5.61,-3.19,-1.71,-0.21,-0.8,1.85,2.24,3.7,6.43,7.03,2.11,3.55,3.9,2.56,1.04,-0.47,-2.03,-1.92,-1.52
Antigua and Barbuda,-53.2,-51,-51.79,-47.97,-44.65,-41.98,-46.12,-41.96,-36.77,-37.38,-36.25,-33.82,-34.48,-30.48,-29.16,-36.44,-34.91,-34.35,-34.46,-35.34,-36.14,-39.7,-41.5,-38.9,-38.24,-35.31,-30,-24.48,-25.05,-32.76,-39.21,-42.36,-40.58,-41.54,-41.42,-40.73,-40.01,-41.3
Myanmar,-94.88,-94.59,-94.42,-94.39,-94.36,-94.4,-94.71,-95.09,-95.86,-96.03,-96.15,-96.3,-96.08,-95.9,-95.78,-95.71,-95.59,-95.55,-95.55,-95.13,-94.89,-94.76,-94.19,-93.76,-93.19,-92.88,-92.25,-91.08,-90.09,-88.46,-87.51,-86.89,-86.12,-85.1,-84.64,-84,-83.44,-83.13
India,-91.38,-91.11,-90.96,-91.04,-91.08,-90.87,-91.02,-91.07,-90.99,-90.63,-90.34,-90.51,-90.56,-89.94,-89.73,-89.56,-89.42,-89.49,-90.03,-89.85,-89.86,-89.86,-89.71,-89.32,-88.89,-88.31,-87.81,-87.07,-86.51,-85.22,-84.41,-83.69,-83.06,-82.33,-81.66,-80.86,-80.22,-79.88
Viet Nam,-92.97,-92.69,-92.33,-92.11,-91.84,-91.82,-91.97,-92.19,-92.31,-92.4,-92.34,-92.12,-91.7,-91.18,-90.84,-90.46,-89.99,-89.75,-89.75,-89.83,-89.73,-89.44,-88.98,-88.54,-88.22,-87.78,-87.56,-87.16,-86.58,-85.47,-85.18,-84.73,-84.09,-83.55,-83.12,-82.55,-82.05,-81.63
Grenada,-71.07,-72.31,-71.83,-72.26,-71.58,-70.63,-70.08,-67.3,-66.97,-65.89,-64.33,-62.88,-63.29,-64.91,-65.11,-66.16,-65.96,-65.63,-63.18,-61.98,-61.53,-64.18,-63.94,-61.21,-64.44,-56.86,-60.97,-60.3,-59.94,-63.12,-63.24,-63.25,-63.89,-62.77,-62.16,-60.47,-61,-61.28
Mali,-97.17,-97.07,-96.9,-97.16,-97.21,-97.04,-96.64,-96.8,-96.93,-96.8,-96.79,-96.35,-96.53,-96.41,-96.38,-95.21,-94.5,-94.23,-94.18,-93.79,-94.27,-93.76,-93.58,-92.82,-93.7,-93.31,-92.91,-92.66,-92.07,-91.11,-90.59,-90.19,-89.26,-88.72,-88.26,-87.88,-87.51,-87.66
Estonia,-39.24,-38.26,-38.13,-38.62,-39.53,-40.64,-41.7,-42.73,-44.41,-45.51,-45.5,-49.26,-60.12,-61.09,-61.92,-62.07,-59.71,-57.29,-56.08,-58.05,-55.87,-53.98,-51.18,-48.82,-47,-41.43,-37.83,-35.14,-37.86,-45.28,-46.31,-41.25,-37.22,-34.78,-33.76,-33.09,-32.73,-30.98
Australia,4.21,6.99,7.98,1.86,2.46,3.29,2.58,0.19,0.47,-0.93,-1.3,-4.26,-5.28,-0.82,-0.12,-0.26,1.27,1.81,2.25,3.09,3.31,2.33,5.14,6.26,7.45,6.74,5.08,4.79,8.33,13.98,11.2,11.83,16.89,18.14,17.08,16.45,15.46,12.05
Romania,-52.97,-52.6,-50.39,-47.8,-45.59,-46.82,-46.94,-47.69,-49.82,-54.18,-57.31,-63.38,-67.13,-66.18,-65.38,-63.62,-62.98,-66,-67.73,-68.76,-68.81,-67.33,-65.82,-64.48,-63.66,-62.35,-60.5,-58.2,-53.09,-53.82,-54.77,-54.59,-53.8,-52.16,-50.61,-49.7,-48.14,-45.9
Spain,-22.54,-23.72,-23.46,-24.31,-25.89,-25.67,-24.39,-21.27,-20.32,-18.31,-16.53,-15.21,-15.42,-17.25,-18.5,-17.3,-17.24,-16.66,-15.65,-16.92,-16.07,-15.41,-14.74,-14.36,-15.55,-15.81,-16.75,-17.3,-17.29,-16.42,-18.15,-20.52,-21.24,-21.7,-20.73,-18.45,-16.22,-15.52
Japan,-16.86,-14.05,-12.22,-11.67,-10.27,-7.36,-8.04,-7.44,-5.19,-4.36,-1.27,-0.19,-1.54,-1.86,-4.2,-3.81,-2.49,-5.49,-10.69,-14.25,-14.81,-15.74,-16.25,-15.66,-15.21,-14.73,-15.62,-15.27,-16.42,-18.01,-15.15,-15.35,-12.22,-8.93,-9.35,-8.72,-9.28,-9.97
Cambodia,-94.78,-94.77,-94.87,-94.8,-94.77,-94.8,-94.81,-93.95,-93.4,-93.82,-94.01,-93.79,-93.6,-93.54,-93.48,-93.45,-93.53,-93.4,-93.44,-93.06,-92.92,-92.73,-92.67,-92.45,-92.25,-91.68,-91.34,-90.89,-90.46,-90.25,-90.19,-89.85,-89.32,-88.91,-88.66,-88.42,-88.14,-87.98
Lesotho,-86.27,-85.76,-86.1,-87.52,-87.56,-86.75,-87.21,-87.14,-86.61,-86.27,-85.72,-85.48,-85.32,-84.95,-85.1,-84.88,-83.93,-83.25,-84.89,-84.11,-84.68,-84.78,-85.13,-84.62,-84.77,-83.89,-84.02,-83.95,-82.83,-82.21,-81.68,-81.75,-80.8,-80.6,-80.76,-80.25,-80.33,-80.47
Uruguay,-51.45,-49.85,-56.05,-61.1,-63.1,-63.44,-59.94,-57.24,-59.29,-60.31,-60.59,-59.06,-55.22,-54.07,-52.08,-54.53,-53.11,-52.51,-51.95,-54.41,-56.72,-59.1,-62.14,-64.22,-63.3,-60.21,-59.66,-57.84,-54.89,-51.29,-50.08,-47.66,-48.04,-44.29,-44.28,-44.1,-45.03,-46.03
Slovakia,-38.41,-37.5,-37.45,-38.03,-39.05,-40.28,-41.44,-42.57,-44.34,-45.47,-45.45,-54.84,-58.58,-57.38,-55.52,-56.58,-54.94,-54.15,-54,-56.49,-57.73,-57.03,-55.77,-53.17,-55.53,-52.16,-49.17,-43.21,-38.08,-39.25,-38.83,-38.88,-35.93,-34.75,-34.52,-33.97,-32.55,-32.99
Mongolia,-72.13,-70.29,-69.1,-69.06,-69.03,-69.07,-66.58,-67.46,-68.55,-69.23,-71.06,-73.62,-77,-77.77,-78.04,-77.42,-77.6,-78.46,-79.13,-79.31,-79.86,-80.41,-79.76,-78.99,-77.46,-76.6,-75.74,-74.65,-72.98,-73.45,-74.4,-71.82,-67.81,-63.8,-62.85,-63.57,-64.41,-66.76
Saint Vincent and the Grenadines,-73.78,-72.8,-72.9,-73.17,-72.65,-72.06,-72.91,-73.13,-71.85,-71.91,-71.87,-72.11,-70.28,-69.69,-71.75,-70.48,-70.67,-71.11,-70.77,-71.06,-71.77,-71.75,-70.34,-69.15,-69.37,-69.3,-67.56,-66.79,-66.03,-64.85,-67.02,-67.74,-66.52,-66.02,-67.61,-66.94,-67.91,-68.55
Portugal,-40.69,-42.03,-43.33,-44.81,-50.34,-48.82,-42.24,-39.25,-35.83,-35.17,-33.12,-32.19,-30.75,-32.18,-32.6,-32,-32.17,-31.15,-29.79,-28.92,-30.14,-30.95,-30.62,-32.08,-33.04,-33.19,-35.53,-34.97,-35.29,-34.19,-34.06,-35.12,-37.36,-36.39,-36.6,-36.62,-35.92,-35.71
New Zealand,-10.51,-6.45,-6.9,-1.34,-1.7,-5.76,-8.21,-6.86,-6.92,-11.36,-15.51,-18.44,-19.89,-15.94,-15.18,-15.17,-15.76,-16.21,-17.93,-18.42,-20.3,-17.47,-15.79,-13.3,-13.82,-15.01,-17.37,-16.09,-17.38,-11.2,-13.45,-12.13,-9.72,-6.37,-5.12,-4.29,-3.41,-5.58
Cabo Verde,-83.86,-83.1,-83.89,-83.51,-83.57,-82.94,-83.04,-82.79,-82.64,-82.16,-82.72,-83,-83.07,-82.15,-81.86,-81.56,-81.35,-80.97,-80.39,-79.2,-79.26,-78.6,-78.5,-78.51,-79.01,-78.96,-78.21,-77.08,-76.09,-76.03,-77.46,-77.05,-77.2,-77.3,-78.37,-78.64,-78.66,-79.04
Tonga,-82.47,-79.1,-77.21,-77.19,-76.59,-76.23,-76.5,-77.46,-78.82,-80.02,-79.97,-79.64,-79.38,-78.16,-77.52,-77.58,-78.08,-78.55,-78.48,-78.4,-78.47,-78.42,-77.87,-78.42,-78.85,-79.2,-80.48,-80.93,-80.19,-78.67,-78.34,-77.64,-78.41,-78.48,-78.31,-78.05,-77.96,-78.28
Ethiopia,-95.4,-95.34,-95.31,-94.83,-94.9,-95.18,-94.82,-94.87,-95.42,-95.61,-95.77,-96.2,-96.33,-95.98,-95.97,-95.8,-95.67,-95.93,-96.13,-96.11,-96.08,-96.03,-96.18,-96.14,-95.87,-95.59,-95.37,-95.07,-94.72,-94.1,-93.66,-93.29,-92.85,-92.36,-91.98,-91.72,-91.54,-91.22
Bangladesh,-91.25,-91.16,-91.18,-91.06,-91.12,-91.27,-91.38,-91.55,-91.93,-92.04,-92,-91.96,-91.88,-91.69,-91.71,-91.75,-91.83,-91.89,-91.97,-92.03,-92.1,-92.05,-91.9,-91.76,-91.7,-91.52,-91.4,-91.17,-90.76,-90.02,-89.83,-89.5,-88.96,-88.55,-88.22,-87.82,-87.41,-87.12
Uganda,-93.88,-93.68,-93.35,-93.22,-93.82,-94.13,-94.34,-94.24,-94.2,-94.15,-94.11,-94.01,-93.93,-93.55,-93.11,-92.86,-92.7,-92.67,-92.39,-92.45,-92.56,-92.28,-91.95,-91.86,-92.01,-91.52,-91.47,-91.2,-90.49,-89.74,-89.45,-89.4,-89.34,-89.29,-89.31,-89.23,-89.65,-89.88
Austria,4.85,5.53,7.45,9.36,6.82,6.87,6.12,4.03,3.22,3.55,6.18,8.39,9.35,10.4,10.34,7.06,7.9,6.45,6.71,6.08,6.93,5.67,7.56,6.92,7.12,7.38,8.25,9.84,13.11,11.48,11.97,12.78,13.44,12.56,10.54,8.1,8.37,8.78
Albania,-72.62,-71.3,-71.25,-72.21,-73.92,-74.76,-74.64,-76.14,-77.92,-76.62,-79.53,-85.82,-86.86,-84.31,-83.24,-80.87,-79.49,-82.69,-81.7,-80.16,-79.45,-78.01,-77.47,-76.6,-76.3,-75.36,-74.62,-73.67,-72.26,-70.68,-70.08,-69.71,-69.61,-68.8,-69.31,-69.41,-68.93,-69.26
Nigeria,-79.51,-79.67,-80.43,-82.34,-83.26,-81.99,-82.39,-84.09,-83.56,-83.3,-82.01,-82.44,-82.52,-82.82,-83.51,-83.89,-83.93,-84.32,-84.41,-85.26,-85.36,-85.26,-82.23,-81.23,-80.06,-79.53,-79.61,-79.72,-78.78,-77.01,-76.32,-76.11,-75.22,-74.46,-73.29,-73.42,-74.86,-76.35
