Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Ecuador,-54.2,-52.22,-54.24,-56.46,-58.05,-58.28,-59.27,-61.92,-63.06,-65.07,-64.49,-63.48,-63.41,-63.27,-63.25,-63.82,-64.75,-64.88,-65.63,-69.62,-71.79,-71.08,-70.28,-70.6,-69.7,-68.92,-69.05,-69.63,-67.27,-66.41,-66.89,-64.93,-63.29,-62.12,-61.92,-63.35,-65.68,-66.45
Moldova,-73.36,-72.97,-72.94,-73.19,-73.64,-74.19,-74.71,-75.22,-76,-76.49,-76.5,-80.67,-86.51,-86.23,-90.82,-91.07,-91.23,-91.35,-92.17,-92.64,-92.75,-92.06,-91.27,-90.71,-90.18,-89.68,-89.76,-89.93,-88.97,-89.74,-88.92,-88.39,-88.13,-87,-86.74,-87.53,-87.26,-86.38
Croatia,-33.33,-32.44,-32.49,-33.22,-34.45,-35.9,-37.31,-38.65,-40.64,-41.89,-41.87,-55.51,-61.2,-64.15,-62.14,-59.72,-58.15,-55.97,-56.16,-58.34,-57.83,-58.35,-53.58,-52.79,-51.56,-49.25,-48.68,-46.68,-45.28,-47.56,-48.9,-48.94,-49.25,-48.2,-49.39,-46.9,-47.66,-46.72
Russian Federation,-24.57,-22.91,-22.11,-21.67,-22.89,-23.53,-24.06,-26.84,-27.62,-29.19,-31.79,-28.51,-42.47,-48.15,-58.14,-65.37,-62.12,-62.37,-65.86,-62.6,-59.16,-56.95,-54.91,-52.78,-49.19,-46.65,-43.77,-39.56,-36.31,-39.28,-37.79,-33.63,-30.58,-30.63,-31.04,-34.38,-37.6,-38.16
Nicaragua,-67.51,-66.56,-67.58,-67.33,-69.56,-72.17,-73.44,-74.61,-79.44,-80.4,-81.13,-82.48,-83.53,-83.47,-84.11,-83.41,-82.91,-82.96,-82.94,-82.7,-83.35,-83.37,-83.72,-83.91,-83.8,-83.6,-83.95,-83.72,-83.24,-83.47,-83.52,-83.02,-82.13,-81.69,-81.42,-81.22,-81.09,-81.19
Czech Republic,-18.38,-17.16,-17.08,-17.82,-19.16,-20.78,-22.25,-23.72,-26.04,-27.49,-27.41,-40.56,-42.33,-41,-40.44,-40.7,-39.79,-43.25,-45.61,-47.32,-47.29,-46.62,-46.15,-44.67,-43.79,-40.8,-39.78,-38.04,-36.67,-38.56,-38.85,-38.16,-37.01,-37.42,-36.99,-34.19,-33.48,-32.23
Guatemala,-57.79,-57.97,-60.53,-62.76,-64.32,-65.66,-67.52,-67.74,-68.33,-68.66,-69.01,-68.16,-67.64,-66.69,-66.84,-66.75,-67.46,-67.81,-67.9,-68.32,-69.05,-69.49,-69.61,-70.07,-70.87,-71.19,-71.5,-71.05,-70.78,-70.26,-71,-71.17,-70.6,-70.32,-70.56,-70.64,-71.16,-72.05
Trinidad and Tobago,-6.66,-0.78,5.66,-12.14,-22.57,-28.78,-32.88,-38.91,-44.78,-48.4,-47.91,-47.49,-49.34,-49.69,-50.27,-49.45,-47.74,-44.92,-42.61,-38.06,-37.46,-37.28,-33.88,-26.21,-24.08,-22.09,-14.69,-13.61,-10.69,-12.41,-11.95,-22.42,-18.28,-13.03,-15.99,-11.63,-15.96,-20.94
Paraguay,-63.91,-60.85,-62.44,-65.87,-66.71,-67.11,-68.89,-69.79,-69.51,-69.2,-69.33,-69.58,-70.1,-68.83,-69.3,-73.11,-72.37,-74.19,-75.41,-77.22,-80.81,-80.83,-76.89,-79.12,-79.01,-79.37,-78.6,-76.8,-75.13,-76,-73.71,-72.91,-74.11,-70.51,-69.93,-69.98,-69.97,-78.69
Georgia,-60.81,-58.8,-58.71,-57.97,-56.98,-56.27,-61.63,-62.31,-61.48,-65.22,-70.5,-76.53,-87.18,-90.74,-91.64,-91.39,-90.39,-89.55,-89.33,-89.39,-89.76,-89.41,-88.82,-87.69,-86.91,-85.78,-84.61,-83.21,-82.54,-82.26,-81.76,-80.8,-78.53,-77.63,-76.4,-76.08,-76.37,-75.79
Jamaica,-59.45,-57.67,-58.01,-58.04,-62.57,-66.66,-66.74,-65.53,-65.92,-64.83,-64.41,-65.37,-61.32,-59.27,-61.62,-62.23,-62.25,-64.34,-66.17,-67.47,-68.56,-69.12,-69.72,-69.29,-69.82,-70.35,-70.5,-70.92,-70.78,-71.54,-72.35,-72.4,-71.96,-72.48,-72.97,-73.74,-74.46,-74.74
Namibia,-47.62,-47.27,-48.47,-51.06,-53.25,-55.46,-56.46,-58.3,-61.95,-64.65,-66.65,-64.46,-64.22,-65.02,-65.86,-66.03,-67.29,-68.12,-69.16,-71.23,-71.19,-72.19,-70.15,-68.9,-67.18,-67.88,-66.43,-65.33,-64.69,-63.55,-63.25,-62.26,-62.03,-59.51,-58.86,-58.35,-60.88,-63.28
Puerto Rico,-4.3,-6.49,-9.94,-8.8,-7.72,-6.46,-4.24,-2.89,-2.78,-3.19,-3.19,-1.76,0.9,5.05,5.98,5.42,5.77,6.87,8.04,8.41,9.6,11.55,11.37,12.17,10.35,7.05,2.64,-0.5,-1.35,2.52,0.08,-1.12,-0.16,-0.99,-3.55,-6.86,-11.02,-21.1
Switzerland,48.89,53.27,56.75,53.6,55.97,59.77,59.06,56.68,55.76,52.78,52.74,51.23,46.89,50.23,46.47,39.21,37.27,39.2,38.7,35.44,38.51,33.13,28.12,32.2,30.38,34.83,35.99,27.48,21.13,35.08,42.16,35.14,38.2,38.86,36.32,37.47,33.17,27.24
Italy,4.35,4.04,3.33,3.2,4.09,3.55,3.58,4.02,3.88,3.26,2.68,3.02,1.58,0.98,0.43,1.51,1.13,0.47,-1.19,-2.16,-1.92,-1.45,-2.15,-3.52,-4.63,-5.34,-6.21,-7.13,-9.21,-10.19,-11.18,-12.1,-14.34,-16.36,-17.06,-17.92,-17.43,-17.72
Iraq,-20.21,-37.67,-39.04,-46.51,-48.24,-50.66,-48.21,-38.45,-39.18,-46.98,-47.09,-86.11,-81.03,-70.02,-73.46,-81.01,-71.73,-67.92,-58.77,-54.44,-57.3,-58.11,-62.62,-76.74,-64.98,-65.08,-60.69,-61.08,-55.7,-52.7,-53.96,-52.94,-47.92,-35.47,-39.7,-40.61,-37.06,-42.31
Lebanon,-39.22,-38.96,-64.88,-57.04,-37.58,-23.93,-32.11,-21.25,-47.43,-73.3,-65.44,-51.64,-51.57,-49.61,-48.5,-47.99,-47.25,-51.04,-51.44,-54.19,-56.45,-56.63,-57.11,-64.65,-58.2,-57.68,-58.74,-55.18,-52.07,-47.42,-47.15,-49.91,-51.18,-53.06,-55.76,-57.98,-59.92,-62.25
Algeria,-29.66,-29.01,-26.66,-25.52,-24.69,-25.49,-29.23,-33.67,-39.91,-40.15,-42.32,-46.09,-46.93,-49.22,-52.24,-52.99,-53.57,-56.02,-56.4,-57.65,-58.88,-59.54,-58.73,-57.61,-58.28,-57.31,-58.65,-57.75,-56.96,-55.49,-56.87,-57.19,-56.47,-56.24,-55.96,-55.97,-55.15,-53.71
Syrian Arab Republic,-61.68,-60.15,-61.21,-62.54,-66.13,-65.26,-69.02,-70.99,-68.92,-76.81,-76.99,-76.57,-73.99,-73.52,-72.92,-73.23,-72.1,-72.75,-72.37,-75.29,-77.15,-76.97,-75.89,-76.76,-76.16,-75.84,-76.48,-76.4,-76.26,-74.36,-74.52,-75.92,-80.69,-85.05,-84.22,-84.57,-85.14,-86.03
Brazil,-35.87,-40.52,-42.48,-47.29,-46.8,-44.62,-42.28,-42.43,-46.31,-46.64,-50.82,-51.36,-53.06,-51.41,-50.01,-50.1,-51.2,-52.3,-55.02,-57.61,-57.81,-59.13,-59.03,-59.94,-59.41,-59.45,-59.72,-58.45,-56.71,-55.57,-54.5,-53.77,-52.76,-51.34,-52.83,-56.21,-59.13,-60.26
Barbados,-32.72,-34.98,-39.68,-41.15,-40.64,-41.97,-41.22,-41.75,-42.52,-42.05,-46.02,-48.89,-53.12,-52.78,-52.23,-52.97,-52.36,-51.57,-51.37,-52.94,-53.63,-56.08,-56.14,-55.97,-56.84,-56.61,-56.55,-55.42,-55.52,-53.9,-55.21,-55.18,-57.09,-55.25,-55.94,-56.28,-56.38,-57.46
South Africa,-35.35,-35.54,-39.21,-42.56,-41.19,-44.89,-47.84,-48.19,-49.02,-50.99,-53.03,-54.41,-56.64,-56.4,-56.94,-58.21,-57.55,-58.69,-61,-62.58,-63.13,-63.55,-63.2,-63.32,-62.53,-61.62,-61.1,-60.81,-59.86,-58.3,-57.69,-57,-56.7,-57.02,-58.09,-58.78,-60.27,-61.62
Ukraine,-53.22,-52.98,-53.34,-54.12,-55.22,-56.48,-57.7,-58.93,-59.38,-58.7,-61.68,-65.45,-69.36,-73.8,-79.94,-82.59,-84.8,-85.69,-86.46,-86.73,-86.35,-84.87,-83.83,-82.08,-80.14,-79.27,-78.2,-76.26,-75.22,-78.78,-78.72,-77.63,-77.8,-77.75,-79,-80.86,-80.25,-79.86
Suriname,-31.27,-26.68,-31.9,-37.17,-41.21,-35.22,-39.21,-47,-45.5,-45.95,-50.25,-50.06,-51.11,-55.17,-55.19,-56.96,-57.91,-57.1,-57.92,-60.38,-61.41,-60.78,-60.43,-58.91,-57.16,-56.82,-57.59,-55.79,-53.8,-51.24,-52.02,-52.44,-50.08,-48.4,-48.95,-51.31,-56.86,-58.27
Iran,-21.33,-30.02,-17.8,-8.73,-17.2,-21.12,-31.46,-36.77,-44.59,-45.63,-40.47,-34.03,-32.63,-34.31,-38.55,-40.6,-40.15,-44.33,-46.78,-48.04,-49.24,-50.31,-48.33,-46.79,-47.83,-48.39,-49.35,-47.79,-48.06,-46.58,-45.74,-45.53,-51.28,-54.24,-54.04,-55.67,-51.87,-51.83
Greece,-10.46,-15.02,-11.6,-14.36,-12.62,-13.23,-18.37,-23.36,-20.75,-19.83,-20.56,-18.97,-19.47,-21.02,-21.16,-20.99,-21.35,-19.65,-19.49,-20.39,-24.15,-22.05,-19.5,-16.57,-14.4,-17.29,-15.84,-15.11,-15.55,-14.16,-24.33,-34.86,-38.18,-41.02,-40.25,-41.53,-42.25,-42.23
Mexico,-11.71,-6.01,-12.17,-20.14,-20.53,-21.42,-30.28,-31.41,-34.04,-34.96,-36.93,-35.42,-35.14,-26.74,-26.51,-36.83,-36.3,-33.59,-33.56,-33.81,-33.96,-36.14,-38.15,-42.19,-42.08,-42.19,-42.37,-42.65,-42.36,-44.29,-42.82,-42.4,-40.59,-41.49,-41.41,-42.37,-42.44,-43.9
Jordan,-36.98,-27.18,-25.7,-32.9,-35.81,-42.12,-42.4,-44.97,-49.35,-58.29,-61.18,-64.71,-61.8,-62.31,-63.68,-64.22,-65.74,-65.91,-66.18,-66.09,-65.97,-65.22,-64.67,-64.56,-63.37,-62.29,-61.9,-60.79,-60.09,-58.18,-61.41,-62.89,-63.5,-64.26,-65.52,-66.79,-67.9,-69.2
Oman,52.43,76.22,90.43,101.25,116.39,134.49,133.64,111.91,102.38,98.77,105.29,105.74,105.25,110.57,101.2,99.87,94.94,101.55,101.01,89.77,86.06,92.56,84.34,70.76,63.22,54.27,51.67,46.54,45.45,47.95,35,23.15,25.5,23.04,13.36,9.7,5.38,7.23
Gabon,7.11,15.83,10.02,15.13,22.42,14.37,8.85,-15.94,-9.68,-6.46,-8.46,-4.55,-14.27,-10.02,-8.88,-10.14,-10.97,-10.15,-9.67,-25.32,-32.99,-32,-32.65,-32.9,-39.56,-39.76,-45.67,-44.03,-47.26,-48.86,-50.48,-45.23,-45.58,-44.57,-44.67,-45.22,-45.82,-48.39
Bahamas,49.03,28.7,34.43,32.02,44.34,44.3,40.55,38.91,34.59,39.5,31.14,21.4,14.94,12.41,11.3,11.62,12.24,14.13,17.52,17.73,16.64,13.75,13.7,7.76,3.1,2.35,-0.49,-3,-5.84,-9.29,-12.6,-14.4,-12.32,-15.26,-19.8,-24.62,-27.24,-28.95
Venezuela,21.08,18.7,12.16,-0.32,-7.81,-12.8,-10.94,-13.24,-13.78,-28.5,-23.22,-18.14,-17.68,-18.98,-24.37,-24.12,-27.29,-26.39,-30.33,-36.82,-37.7,-38.45,-46.39,-51.92,-45.67,-40.72,-37.75,-35.43,-32.39,-33.94,-37.61,-37.94,-34.88,-34.75,-39.02,-44.75,-55.64,-63.66
Bahrain,187.15,171.14,141.3,151.97,145.82,81.37,72.62,69.22,72.48,69.74,90.28,83.86,82.51,90.93,85.32,93.89,90.08,79.3,80.68,76.95,76.07,67.53,58.89,56.48,51.56,50.48,42.39,39.4,34.2,22.83,19.07,10.68,28.61,34.46,34.54,32.4,28.34,22.66
Libya,203.98,133.84,128.77,109.73,87.4,99.27,65.25,33.42,34.8,35.32,34.06,51.82,41.36,30.12,26.31,16.54,13.35,13.47,3.3,-1.61,-7.42,-12.32,-13.15,-4.16,-8.19,-3.09,-2.84,3.02,15.78,19.32,21.53,-59.97,5.39,-51.96,-63.56,-65.65,-66.42,-41.73
Kuwait,477.25,397.29,309.5,304.76,295.76,247.11,319.51,269.93,227.02,290.3,191.35,77.16,193,288.89,324.35,348.02,331.74,321.47,300.89,249.95,231.55,204.53,185.38,219.32,245.27,262.55,268.77,262.48,239.87,203.48,170.3,170.39,175.82,163.14,149.86,149.25,152.63,133.57
Saudi Arabia,476.77,472.84,337.22,241.62,201.51,145.57,178.68,141,154.01,131.88,150.75,174.27,173.68,168.01,154.18,145.76,137.14,125.59,120.4,99.33,95.87,83.73,69.09,77.78,83.11,84.53,79.26,73.52,80.5,76.4,73.25,80.76,84.08,80.52,78.51,77.03,75.08,64.71
Qatar,639.17,564.16,436.49,356.65,318.87,261.11,250.7,222.87,213.76,210.4,205.7,190.93,218.85,210.99,202.44,194.9,195.24,256.01,260.42,262.44,286.03,273.96,282.79,267.81,282.73,254.83,265.77,250.49,247.1,247.03,248.6,262.1,255.93,250.68,240.62,232.76,224.1,212.24
United Arab Emirates,694.66,679.15,570.75,501.61,500.59,450.32,304.85,308.1,261.2,281.86,325.17,296.99,279.32,258.63,258,256.26,254.83,258.75,233.4,219.46,231.56,206.69,189,186.56,176.31,149.82,131.74,100.72,80.97,57.61,43.36,45.62,51.74,59.51,61.24,63.28,64.34,68.17
Brunei Darussalam,772.76,555.47,567.41,547.55,524.9,485.87,380.67,355.03,319.3,299.86,282.43,282.97,289.28,281.04,273.23,269.7,264.47,237.02,213.96,205.29,195.23,192.96,197.24,192.59,180.13,171.02,172.3,164.47,156.97,160.13,156.36,159.02,159.47,148.53,133.52,124.48,110.13,128.27
